Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C3, C4, C5, C6",C_0402,7,100n,
"C11, C13, C8, C9",C_0805,4,2.2u,
C2,C_0805,1,100u,
C7,C_0402,1,100n,
"D1, D6, D7",D_0603,3,Red,C2286
D2,D_0603,1,White,C2290
D3,D_0603,1,Yellow,C89811
D4,D_0603,1,Green,C122984
D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C22461793
J5,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,"
C2927028"
Q2,PDFN3333-8_L3.1-W3.2-P0.65-LS3.4-BL,1,CSD17578Q3A,C205986
R1,R_0402,1,4.7k,
"R10, R7, R8, R9",R_0402,4,330,
"R11, R12, R14, R15, R18, R19, R21, R24, R25, R5, R6",R_0402,11,10k,
R13,R_2512,1,8m,C2904240
"R16, R17",R_0402,2,1k,
R2,R_0402,1,1.2k,
"R20, R26",R_0402,2,46k,C3016791
R23,R_0402,1,330,
"R3, R4",R_0402,2,5.1k,
"S1, S3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,"Tactile Button, 160gf",C318884
U1,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny3216-S,C609661
U2,MSOP-8_3x3mm_P0.65mm,1,DS18B20U,C4371066
U3,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U4,Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm,1,INA234AxYBJ,C4371066
"U5, U6",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,TPS73001SF6,C2915259
U7,UQFN-10_L2.0-W1.5-P0.50-TL,1,TPS22997RYZR,C17286840
