"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C4,C5,C6,C10,C12","100n","~","PCM_JLCPCB:C_0402","7",""
"C2,C7","100u","~","Capacitor_SMD:C_0805_2012Metric,PCM_JLCPCB:C_0402","2",""
"C8,C9,C11,C13","2.2u","~","Capacitor_SMD:C_0805_2012Metric","4",""
"D1,D6,D7","Red","https://www.lcsc.com/datasheet/lcsc_datasheet_1810231112_Hubei-KENTO-Elec-KT-0603R_C2286.pdf","PCM_JLCPCB:D_0603","3",""
"D2","White","https://www.lcsc.com/datasheet/lcsc_datasheet_2305091500_Hubei-KENTO-Elec-KT-0603W_C2290.pdf","PCM_JLCPCB:D_0603","1",""
"D3","Yellow","https://www.lcsc.com/datasheet/lcsc_datasheet_2008201033_Foshan-NationStar-Optoelectronics-NCD0603Y2_C89811.pdf","PCM_JLCPCB:D_0603","1",""
"D4","Green","https://www.lcsc.com/datasheet/lcsc_datasheet_1806151820_Hubei-KENTO-Elec-KT-0805G_C2297.pdf","PCM_JLCPCB:D_0603","1",""
"D5","WS2812B","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2406131538_XINGLIGHT-XL-5050RGBC-WS2812B-S_C22461793.pdf","PCM_JLCPCB:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","1",""
"J5","USB_C_Receptacle_PowerOnly_6P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","1",""
"Q2","CSD17578Q3A","https://lcsc.com/product-detail/MOSFET_TI_CSD17578Q3A_CSD17578Q3A_C205986.html","mosfet_ti:PDFN3333-8_L3.1-W3.2-P0.65-LS3.4-BL","1",""
"R1","4.7k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R2","1.2k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R3,R4","5.1k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R5,R6,R11,R12,R14,R15,R18,R19,R21,R24,R25","10k","~","Resistor_SMD:R_0402_1005Metric","11",""
"R7,R8,R9,R10,R23","330","~","PCM_JLCPCB:R_0402,Resistor_SMD:R_0402_1005Metric","5",""
"R13","8m","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8589839167539470336","Resistor_SMD:R_2512_6332Metric","1",""
"R16,R17","1k","~","PCM_JLCPCB:R_0402","2",""
"R20,R26","46k","~","Resistor_SMD:R_0402_1005Metric","2",""
"S1,S3","Tactile Button, 160gf","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XKB-Connection-TS-1187A-B-A-B_C318884.pdf","PCM_JLCPCB:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","2",""
"TP1","BAT2+","~","TestPoint:TestPoint_Pad_D4.0mm","1",""
"TP2","BAT2-","~","TestPoint:TestPoint_Pad_D4.0mm","1",""
"TP3","BAT1+","~","TestPoint:TestPoint_Pad_D4.0mm","1",""
"TP4","BAT1-","~","TestPoint:TestPoint_Pad_D4.0mm","1",""
"TP5","HEATER_T2","~","TestPoint:TestPoint_Pad_D4.0mm","1",""
"TP6","HEATER_T1","~","TestPoint:TestPoint_Pad_D4.0mm","1",""
"TP7,TP9,TP10","IN+","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","3",""
"TP8","IN-","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1",""
"TP11","CT","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1",""
"TP12","GATE","~","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1",""
"U1","ATtiny3216-S","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","1",""
"U2","DS18B20U","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","Package_SO:MSOP-8_3x3mm_P0.65mm","1",""
"U3","TP4056","https://www.lcsc.com/datasheet/lcsc_datasheet_1809261820_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","PCM_JLCPCB:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","1",""
"U4","INA234AxYBJ","https://www.ti.com/lit/ds/symlink/ina234.pdf","Package_BGA:Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm","1",""
"U5,U6","TPS73001SF6","","tps73001sf6:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","2",""
"U7","TPS22997RYZR","","load_switch:UQFN-10_L2.0-W1.5-P0.50-TL","1",""
