Designator,Mid X,Mid Y,Rotation,Layer
C1,47.01,36.93,180.0,top
C10,14.11,37.65,180.0,top
C11,34.2125,52.4525,180.0,top
C12,51.1425,67.13,180.0,top
C13,32.81,46.49,180.0,top
C2,46.66,35.52,180.0,top
C3,33.07,60.72,0.0,top
C4,41.0775,57.35,90.0,top
C5,30.48,32.23,90.0,top
C6,26.54,29.19,0.0,top
C7,42.12,35.71,0.0,top
C8,51.23,39.28,270.0,top
C9,35.93,45.35,90.0,top
D1,22.13,53.51,90.0,top
D2,24.84,53.5,90.0,top
D3,27.51,53.52,90.0,top
D4,29.92,53.51,90.0,top
D5,14.6894,41.6442,90.0,top
D6,51.26,35.87,0.0,top
D7,53.16,38.2,270.0,top
J2,20.3662,43.9496,180.0,top
J5,44.3,29.13,0.0,top
Q2,47.925,58.08,90.0,top
R1,35.35,60.63,180.0,top
R10,26.46,48.69,90.0,top
R11,23.14,34.68,270.0,top
R12,33.99,29.35,180.0,top
R13,43.4875,60.7325,270.0,top
R14,37.2075,58.75,270.0,top
R15,51.65,32.48,270.0,top
R16,51.24,34.47,0.0,top
R17,51.3162,37.1296,0.0,top
R18,17.93,44.12,270.0,top
R19,35.46,42.43,90.0,top
R2,56.34,45.89,270.0,top
R20,35.46,40.56,90.0,top
R21,53.0225,67.07,180.0,top
R23,51.65,59.15,270.0,top
R24,50.58,59.17,90.0,top
R25,36.02,50.35,180.0,top
R26,35.57,48.75,90.0,top
R3,42.84,34.1,180.0,top
R4,45.53,34.07,0.0,top
R5,36.2375,56.87,90.0,top
R6,37.2275,56.86,270.0,top
R7,23.45,48.71,90.0,top
R8,24.48,48.69,90.0,top
R9,25.47,48.67,90.0,top
S1,34.01,32.79,90.0,top
S3,26.58,32.8,90.0,top
U1,43.58,43.975,90.0,top
U2,34.63,63.01,90.0,top
U3,52.8578,44.8414,180.0,top
U4,39.09,58.37,0.0,top
U5,32.9025,42.01,90.0,top
U6,33.0925,49.27,90.0,top
U7,52.2,68.99,180.0,top
