"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1,C3-C7,C10,C12","100n","PCM_JLCPCB:C_0402","8","Unpolarized capacitor, small symbol","","",""
"C2","100u","Capacitor_SMD:C_0805_2012Metric","1","Unpolarized capacitor, small symbol","","","C141660"
"C8,C9,C11,C13","2.2u","Capacitor_SMD:C_0805_2012Metric","4","Unpolarized capacitor, small symbol","","",""
"D1,D6,D7","Red","PCM_JLCPCB:D_0603","3","-40°C~+85°C Red 0603 LED Indication - Discrete ROHS","Hubei KENTO Elec","","C2286"
"D2","White","PCM_JLCPCB:D_0603","1","White 0603 LED Indication - Discrete ROHS","Hubei KENTO Elec","","C2290"
"D3","Yellow","PCM_JLCPCB:D_0603","1","25mA 100mcd~220mcd Colorless transparent lens 586nm~595nm -30°C~+85°C Yellow 130° 65mW 1.6V~2.6V 0603 LED Indication - Discrete ROHS","Foshan NationStar Optoelectronics","","C89811"
"D4","Green","PCM_JLCPCB:D_0603","1","Emerald 0805 LED Indication - Discrete ROHS","Hubei KENTO Elec","","C122984"
"D5","WS2812B","PCM_JLCPCB:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","1","RGB LED with integrated controller","","","C22461793"
"J5","USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","1","USB Power-Only 6P Type-C Receptacle connector","","",""
"Q2","CSD17578Q3A","mosfet_ti:PDFN3333-8_L3.1-W3.2-P0.65-LS3.4-BL","1","","","",""
"R1","4.7k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","",""
"R2","1.2k","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","",""
"R3,R4","5.1k","Resistor_SMD:R_0402_1005Metric","2","Resistor, small symbol","","",""
"R5,R6,R11,R12,R14,R15,R18,R19,R21,R24,R25","10k","Resistor_SMD:R_0402_1005Metric","11","Resistor, small symbol","","",""
"R7-R10","330","PCM_JLCPCB:R_0402","4","Resistor, small symbol","","",""
"R13","8m","Resistor_SMD:R_2512_6332Metric","1","Resistor, small symbol","","","C2904240"
"R16,R17","1k","PCM_JLCPCB:R_0402","2","Resistor, small symbol","","",""
"R20,R26","46k","Resistor_SMD:R_0402_1005Metric","2","Resistor, small symbol","","","C3016791"
"R23","330","Resistor_SMD:R_0402_1005Metric","1","Resistor, small symbol","","",""
"S1,S3","Tactile Button, 160gf","PCM_JLCPCB:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","2","None Without 50mA 5.1mm 100000 Times 160gf 12V 5.1mm 1.5mm Round Button Standing paste SPST SMD Tactile Switches ROHS","XKB Connectivity","","C318884"
"TP1","BAT2+","TestPoint:TestPoint_Pad_D4.0mm","1","test point","","",""
"TP2","BAT2-","TestPoint:TestPoint_Pad_D4.0mm","1","test point","","",""
"TP3","BAT1+","TestPoint:TestPoint_Pad_D4.0mm","1","test point","","",""
"TP4","BAT1-","TestPoint:TestPoint_Pad_D4.0mm","1","test point","","",""
"TP5","HEATER_T2","TestPoint:TestPoint_Pad_D4.0mm","1","test point","","",""
"TP6","HEATER_T1","TestPoint:TestPoint_Pad_D4.0mm","1","test point","","",""
"TP7,TP9,TP10","IN+","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","3","test point","","",""
"TP8","IN-","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1","test point","","",""
"TP11","CT","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1","test point","","",""
"TP12","GATE","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1","test point","","",""
"U1","ATtiny3216-S","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","1","20MHz, 32kB Flash, 2kB SRAM, 256B EEPROM, SOIC-20","","",""
"U2","DS18B20U","Package_SO:MSOP-8_3x3mm_P0.65mm","1","Programmable Resolution 1-Wire Digital Thermometer MSOP-8","","",""
"U3","TP4056","PCM_JLCPCB:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","1","ESOP-8 Battery Management ROHS","TOPPOWER(Nanjing Extension Microelectronics)","","C16581"
"U4","INA234AxYBJ","Package_BGA:Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm","1","Bidirectional Current/Voltage/Power Monitor (0-28V) With I2C Interface, DSBGA-8","","",""
"U5,U6","TPS73001SF6","tps73001sf6:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","2","","","",""
"U7","TPS22997RYZR","load_switch:UQFN-10_L2.0-W1.5-P0.50-TL","1","","","",""
